MaSV,HoTen,Diem
SV001,Nguyen Van An,8.5
SV002,Le Kha Anh,7.0
SV003,Nguyen Tuan Anh,9.0
SV004,Pham Tung Duong,6.5
SV005,Le Hai Dang,5.5
SV006,Nguyen Thi Phuong,8.0
SV007,Tran Van Giang,4.5
SV008,Le Thi Huong,7.5
SV009,Pham Van Hung,6.0
SV010,Pham Van Hieu,9.5
SV011,Tran Van Lam,3.5
SV012,Do Duc Lam,8.0
SV013,Pham Van Nam,7.0
SV014,Nguyen Thi Nga,6.0
SV015,Tran Van Oanh,5.0
SV016,Le Thi Phuong,8.5
SV017,Pham Van Quang,4.0
SV018,Nguyen Thi Rong,7.5
SV019,Tran Van Son,6.5
SV020,Le Thi Tuyet,9.0
SV021,Pham Van Uyen,5.5
SV022,Nguyen Thi Van,8.0
SV023,Tran Van Xuan,7.0
SV024,Le Thi Yen,6.0
SV025,Pham Van Anh,4.5
SV026,Nguyen Thi Bao,8.5
SV027,Tran Van Chau,7.5
SV028,Le Thi Dao,6.5
SV029,Pham Van Duy,5.0
SV030,Nguyen Thi Em,9.0
SV031,Tran Van Hanh,8.0
SV032,Le Thi Hong,4.0
SV033,Pham Van Khanh,7.0
SV034,Nguyen Thi Lan,6.0
SV035,Tran Van Minh,5.5
SV036,Le Thi Nhan,8.5
SV037,Pham Van Phuc,7.5
SV038,Nguyen Thi Quynh,6.5
SV039,Nguyen Huu Truong,7.5
SV040,Le Thi Thanh,9.0
SV041,Pham Van Tri,8.0
SV042,Tran Thanh The,7.0
SV043,Tran Van Vy,6.0
SV044,Le Thi Xuan,5.0
SV045,Pham Van Yen,8.5
SV046,Nguyen Thi Ai,7.5
SV047,Tran Van Binh,4.0
SV048,Le Thi Cuc,9.0
SV049,Pham Van Danh,8.0
SV050,Nguyen Thi Em,7.0
